[12:56:25] 📚 [2025-10-21] Processing 85 articles
[12:57:48] ⏭️  [2025-10-21] Already exists: notices-issued-to-adiala-jail-superintendent-others-on-kp-cms-plea-seeking-meeting-with-imran
[12:57:49] ⏭️  [2025-10-21] Already exists: suparco-launches-countrys-first-hyperspectral-satellite
[12:57:49] ⏭️  [2025-10-21] Already exists: authorities-in-punjab-closing-in-on-tlp-chiefs-whereabouts
[12:57:51] ⏭️  [2025-10-21] Already exists: talibans-new-ploy
[12:57:51] ⏭️  [2025-10-21] Already exists: why-are-multinationals-exiting-pakistan
[12:57:52] ⏭️  [2025-10-21] Already exists: need-for-safeguards
[12:57:56] ⏭️  [2025-10-21] Already exists: pakistan-fall-to-great-britain-end-fourth-in-sultan-of-johor-cup
[12:57:56] ⏭️  [2025-10-21] Already exists: measured-response
[12:57:56] ⏭️  [2025-10-21] Already exists: trump-vows-to-keep-massive-tariffs-on-india-until-russian-oil-imports-cease
[12:58:00] ⏭️  [2025-10-21] Already exists: saudi-telecom-giant-launches-ai-hub-in-pakistan
[12:58:00] ⏭️  [2025-10-21] Already exists: pakistan-cricket-board-to-finalise-new-odi-skipper-ahead-of-south-africa-series
[12:58:00] ⏭️  [2025-10-21] Already exists: lhc-informed-cnic-of-arshad-chaiwala-restored-after-nadra-verification
[12:58:03] ⏭️  [2025-10-21] Already exists: shaheen-named-pakistan-mens-odi-captain-set-to-start-stint-with-south-africa-series
[12:58:03] ⏭️  [2025-10-21] Already exists: another-doha-pact
[12:58:03] ⏭️  [2025-10-21] Already exists: kp-cm-afridi-calls-for-a-grand-peace-jirgah-on-oct-25
[12:58:06] ⏭️  [2025-10-21] Already exists: veteran-bollywood-comedian-asrani-passes-away-at-84-after-prolonged-illness
[12:58:06] ⏭️  [2025-10-21] Already exists: doha-truce
[12:58:06] ⏭️  [2025-10-21] Already exists: now-the-hard-part
[12:58:10] ⏭️  [2025-10-21] Already exists: zimbabwe-roped-in-after-afghanistan-pulls-out-of-upcoming-tri-nation-series
[12:58:10] ⏭️  [2025-10-21] Already exists: beyond-baku-belem
[12:58:10] ⏭️  [2025-10-21] Already exists: only-positive-way-forward-is-for-afghanistan-to-abide-by-doha-agreement-talal-chaudhry
[12:58:15] ⏭️  [2025-10-21] Already exists: no-space-for-war-in-nuclearised-environment-coas-munir-cautions-india
[12:58:15] ⏭️  [2025-10-21] Already exists: shift-in-kabul-ties-imminent-as-more-terror-hideouts-hit
[12:58:15] ⏭️  [2025-10-21] Already exists: make-israel-great-again
[12:58:19] ⏭️  [2025-10-21] Already exists: from-sar-to-menaap
[12:58:21] 📊 [2025-10-21] Summary: 85 success, 0 failed
